Dairy/Fatty,Meat,Fruits/Vegetables/Plants,Cereals/Grains,Other
Butter,Chicken,Spices,Clif Z bar,Protein supplement
Butter oil,Duck,Basil,Zwieback,Nutritional supplement for people with diabetes
Cheese,Goose,Mustard,Cereals ready-to-eat,Salt
Cheese spread,Turkey,Vanilla extract,Cereals,Vinegar
Cream,Chicken patty,Capers,Milk and cereal bar,Babyfood
Eggnog,Ostrich,Horseradish,Rice and Wheat cereal bar,Salad dressing
Cream substitute,Turkey from whole,Split pea soup,Noodles,Sandwich spread
Dessert topping,Blood sausage,Split pea with ham soup,Bagels,Dressing
Sour cream,Bologna,Apples,Biscuits,Soup
Milk,Bratwurst,Apple juice,Bread,CAMPBELL'S
Whey,Braunschweiger (a liver sausage),Applesauce,Cake,Sauce
Yogurt,Frankfurter,Apricots,Cookies,Gravy
Egg,Ham,Apricot nectar,Puff pastry,Fish broth
Cheese sauce,Headcheese,Avocados,Crackers,Onion rings
Parmesan cheese topping,Knackwurst,Bananas,Cream puff shell,Alcoholic beverage
Cheese product,Roast beef,Blackberries,Croutons,Beverages
Dulce de Leche,Mortadella,Blackberry juice,Danish pastry,Carbonated beverage
Egg substitute,Pate,Cherries,Doughnuts,Alcoholic beverages
Ice cream,Pepperoni,Blueberries,Muffins,Malt beverage
Fat free ice cream,Pickle and pimiento loaf,Breadfruit,Ice cream cone,Strawberry-flavor beverage mix
Ice cream bar,Pork sausage,Carambola,Ice cream cones,Water
Kefir,Poultry salad sandwich spread,Cranberries,Pancakes plain,Miso
Light ice cream,Salami,Cranberry sauce,Pancakes,Soy sauce made from soy and wheat (shoyu)
Infant formula,Thuringer,Currants,Pie,Candies
Child formula,Turkey breast,Dates,Pie crust,Snacks
Toddler formula,Sausage,Figs,Phyllo dough,Baking chocolate
Fat,Luncheon meat,Fruit cocktail,Rolls,Fruit syrup
Lard,Scrapple,Grapefruit,Strudel,Syrup
Oil,Chicken breast,Grapefruit juice,Sweet rolls,Sherbet
Margarine,Kielbasa,Grape juice,Taco shells,Chocolate-flavored hazelnut spread
Shortening industrial,Bacon,Grapes,Tortillas,Syrups
Animal fat,Pork,Guavas,Leavening agents,Toppings
Margarine-like,Canadian bacon,Kiwifruit,Tart,Chewing gum
Shortening,Beef,Kumquats,Waffle,Gelatin desserts
Mayonnaise,Fish,Lemons,Toaster Pastries,Gelatins
Shake,Crustaceans,Lemon juice,Muffin,Puddings
Ice creams,Mollusks,Lemon juice from concentrate,Pie Crust,Frostings
Frozen yogurts,Lamb,Lemon peel,Garlic bread,Frozen novelties
Cheese puffs and twists,Veal,Limes,Cinnamon buns,Honey
Pizza,Game meat,Lime juice,Cream puff,Jams and preserves
Light Ice Cream,Beef stew,Litchis,Focaccia,Jellies
Yogurt parfait,Chicken pot pie,Mangos,SCHIFF,Marmalade
Macaroni and cheese,Chili with beans,Mango,Barley,Molasses
HOT POCKETS,Chili con carne with beans,Melons,Buckwheat groats,Pie fillings
HOT POCKETS Ham 'N Cheese Stuffed Sandwich,Chili,Nectarines,Buckwheat flour,Sugars
LEAN POCKETS,Corn dogs,Olives,Bulgur,Sweeteners
Pizza rolls,Chicken tenders,Oranges,Corn flour,Snack
Creamy dressing,Salisbury steak with gravy,Orange juice,Cornmeal,Potato chips
Whipped topping,Turkey ham,Tangerines,Cornstarch,Sweetener
Infant Formula,Luncheon slices,Tangerine juice,Couscous,Jams
,Meatballs,Papayas,Hominy,Fast foods
,Quail,Papaya nectar,Millet,Fast Foods
,Pheasant,Passion-fruit,Oat bran,Fast food
,Dove,Passion-fruit juice,Rice,Fast Food
,Frog legs,Peaches,Rice flour,School Lunch
,Turtle,Peach nectar,Rye flour,Egg rolls
,REDUCED SODIUM: Ham,Pears,Wheat bran,Formulated bar
,REDUCED SODIUM: Roast beef,Pear nectar,Wheat flour,Formulated Bar
,REDUCED SODIUM: Pepperoni,Persimmons,Wild rice,Dip
,REDUCED SODIUM: Salami,Pineapple,Macaroni,Potsticker or wonton
,REDUCED SODIUM: Turkey breast,Pineapple juice,Pasta,Dumpling
,REDUCED SODIUM: Chicken breast,Plantains,Rice noodles,Restaurant
,REDUCED SODIUM: Bologna,Plums,Quinoa,Imitation cheese
,Ham salad spread,Pomegranates,Ravioli,Salad Dressing
,,Prune juice,Tortellini,Fluid replacement
,,Raisins,Lasagna,Vegetarian fillets
,,Raspberries,Lasagna with meat & sauce,Vegetarian meatloaf or patties
,,Rhubarb,Rice bowl with chicken,Beverage
,,Strawberries,Macaroni and cheese dinner with dry sauce mix,Bacon bits
,,Tamarinds,RICE-A-RONI,Butter replacement
,,Watermelon,Pretzels,Yeast extract spread
,,Maraschino cherries,Popcorn,Tofu yogurt
,,Candied fruit,Rice crackers,
,,Guanabana nectar,Cookie,
,,Mango nectar,Waffles,
,,Pomegranate juice,Rice and vermicelli mix,
,,Juice,Taquitos,
,,Orange Pineapple Juice Blend,Pasta mix,
,,Fruit juice smoothie,Yellow rice with seasoning,
,,Guava nectar,Macaroni or noodles with cheese,
,,Cranberry juice blend,Turnover,
,,Alfalfa seeds,Rice mix,
,,Artichokes,Granola bar,
,,Asparagus,Papad,
,,Balsam-pear (bitter gourd),Rice cake,
,,Bamboo shoots,Breakfast bars,
,,Lime beans,Vermicelli,
,,Mung beans,Breakfast bar,
,,Beans,Croissants,
,,Beets,Macaroni and Cheese,
,,Beet greens,,
,,Broccoli,,
,,Broccoli raab,,
,,Brussels sprouts,,
,,Burdock root,,
,,Cabbage,,
,,Carrots,,
,,Cassava,,
,,Cauliflower,,
,,Celeriac,,
,,Celery,,
,,Chard,,
,,Chayote,,
,,Chives,,
,,Collards,,
,,Coriander (cilantro) leaves,,
,,Corn,,
,,Cowpeas (blackeyes),,
,,Cress,,
,,Cucumber,,
,,Dandelion greens,,
,,Eggplant,,
,,Edamame,,
,,Escarole,,
,,Garlic,,
,,Ginger root,,
,,Kale,,
,,Kohlrabi,,
,,Lambsquarters,,
,,Leeks,,
,,Lettuce,,
,,Lotus root,,
,,Mushrooms,,
,,Mustard greens,,
,,Okra,,
,,Onions,,
,,Parsley,,
,,Parsnips,,
,,Peas,,
,,Peppers,,
,,Pokeberry shoots,,
,,Potatoes,,
,,Potato puffs,,
,,Potato flour,,
,,Pumpkin flowers,,
,,Pumpkin,,
,,Radishes,,
,,Rutabagas,,
,,Salsify,,
,,Sauerkraut,,
,,Seaweed,,
,,Spinach,,
,,Squash,,
,,Sweet potato leaves,,
,,Sweet potato,,
,,Taro,,
,,Taro leaves,,
,,Tomatoes,,
,,Tomato juice,,
,,Tomato products,,
,,Turnips,,
,,Turnip greens,,
,,Vegetable juice cocktail,,
,,Vegetables,,
,,Waterchestnuts,,
,,Watercress,,
,,Waxgourd,,
,,Yam,,
,,Yambean (jicama),,
,,Carrot juice,,
,,Catsup,,
,,Pickles,,
,,Pimento,,
,,Pickle relish,,
,,Radicchio,,
,,Tomatillos,,
,,Fennel,,
,,Arugula,,
,,Nopales,,
,,Grape leaves,,
,,Pepper,,
,,Seeds,,
,,Nuts,,
,,Cranberry juice cocktail,,
,,Lemonade,,
,,Broadbeans (fava beans),,
,,Chickpeas (garbanzo beans,,
,,Cowpeas,,
,,Lentils,,
,,Peanuts,,
,,Peanut butter,,
,,Peanut flour,,
,,Refried beans,,
,,Soybeans,,
,,Natto,,
,,Soy flour,,
,,Soy protein isolate,,
,,Tofu,,
,,Soymilk,,
,,Veggie burgers or soyburgers,,
,,Peanut spread,,
,,Soymilk (all flavors),,
,,Cocoa,,
,,Fruit butters,,
,,Tapioca,,
,,Potato salad with egg,,
,,Wasabi,,
,,Sweet Potatoes,,
,,Soybean,,
,,Tomato and vegetable juice,,
,,Cranberry juice,,
,,Hearts of palm,,
,,REDUCED SODIUM: Nuts,,
,,Guava sauce,,
,,Lima beans,,
